,Unnamed: 0,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
0,0,720.16S80T1,S,-0.30060840000000005,-0.5770589,-0.1196412,0.5480723000000001,-0.4522933,-0.02148562,0.6615711,0.0,-999.0,0.0,3.995513,80,1
1,1,720.18S80T1,S,-0.3810583,-0.5151741,-0.15092339999999999,0.5363189,-0.4642273,-0.02632239,0.6583219,0.02,-999.0,0.0,4.434896,80,1
2,2,720.2S80T1,S,-0.4793633,-0.4067078,-0.1805116,0.521848,-0.4725353,-0.03196808,0.6540526,0.04,-999.0,0.0,7.3028070000000005,80,1
3,3,720.22S80T1,S,-0.4793633,-0.4067078,-0.1805116,0.5122607,-0.48066949999999997,-0.03557831,0.6540526,0.06,-999.0,0.0,7.3028070000000005,80,1
4,4,720.24S80T1,S,-0.5719016,-0.24407960000000004,-0.20620850000000002,0.5048745,-0.4752138,-0.03820511,0.6551093000000001,0.08,-999.0,0.0,8.564717,80,1
5,5,720.26S80T1,S,-0.6284791000000001,-0.03159644,-0.22735709999999998,0.4872333,-0.4709380999999999,-0.0448088,0.6690857,0.1,-999.0,0.0,10.05105,80,1
6,6,720.28S80T1,S,-0.6507935,0.25628,-0.2499016,0.46975390000000006,-0.45739840000000004,-0.0519698,0.7427398000000001,0.12,35.6328,0.02324076,12.74975,80,1
7,7,720.3S80T1,S,-0.6509038,0.28167359999999997,-0.2517636,0.4566879,-0.45082970000000006,-0.05709331,0.752596,0.14,31.41545,0.03873651,12.94384,80,1
8,8,720.32S80T1,S,-0.6328368000000001,0.5765085,-0.2705965,0.45375109999999996,-0.4345704000000001,-0.05938048,0.8978123,0.16,44.883720000000004,0.0554164,13.25876,80,1
9,9,720.34S80T1,S,-0.5601229,0.8825253000000001,-0.2916364,0.4408817,-0.40374829999999995,-0.06695323,1.085191,0.18,52.600480000000005,0.08966504,10.701189999999999,80,1
10,10,720.36S80T1,S,-0.471141,1.089599,-0.3211726,0.4307205,-0.3699637,-0.07534054,1.2297770000000001,0.2,57.53828000000001,0.12592799999999998,8.052,80,1
11,11,720.38S80T1,S,-0.36376840000000005,1.2167729999999999,-0.36048620000000003,0.4237848,-0.3346933,-0.08485541,1.320157,0.22,61.15858000000001,0.1631118,4.971932,80,1
12,12,720.4S80T1,S,-0.27625500000000003,1.248748,-0.39675859999999996,0.4186281,-0.301107,-0.09531643,1.339069,0.24,63.360369999999996,0.1986654,3.9554690000000003,80,1
13,13,720.42S80T1,S,-0.27625500000000003,1.248748,-0.39675859999999996,0.413103,-0.2761321,-0.10325160000000001,1.339069,0.26,64.14654,0.22544679999999997,3.9554690000000003,80,1
14,14,720.44S80T1,S,-0.1788342,1.224906,-0.4331244000000001,0.4161858,-0.2693179,-0.10685719999999999,1.3114780000000001,0.28,64.92751,0.2337496,4.047408,80,1
15,15,720.46S80T1,S,-0.1066483,1.1473209999999998,-0.4526611,0.41503270000000003,-0.24099299999999999,-0.11853339999999998,1.237991,0.3,65.83135,0.26440840000000004,5.527474,80,1
16,16,720.48S80T1,S,-0.04849871,0.9909015,-0.42806869999999997,0.4149649,-0.21833699999999998,-0.1287302,1.0805,0.32,66.32555,0.2892534,7.762663000000001,80,1
17,17,720.5S80T1,S,-0.04849871,0.9909015,-0.42806869999999997,0.41399490000000005,-0.198519,-0.13729149999999998,1.0805,0.34,66.58516999999999,0.3108634,7.762663000000001,80,1
18,18,720.54S80T1,S,0.009373249,0.5877505999999999,-0.25532150000000003,0.4160416,-0.1915834,-0.13991189999999998,0.6408804,0.38,66.96205,0.31855479999999997,9.025017,80,1
19,19,720.56S80T1,S,0.03119568,0.3894784,-0.1516907,0.4172531,-0.1860369,-0.14128429999999997,0.419138,0.4,67.29881999999999,0.32439559999999995,8.409378,80,1
20,20,720.6S80T1,S,0.041083800000000004,0.20772849999999998,-0.05213488,0.4193071,-0.1806087,-0.14136579999999999,0.2180758,0.44,67.87199,0.3302,9.191798,80,1
21,21,720.62S80T1,S,0.0473606,-0.001094267,0.07860927,0.4197902,-0.18971470000000001,-0.1352217,0.09178039,0.46,68.14466,0.3411956,9.57388,80,1
22,22,720.64S80T1,S,0.05401208,-0.19031800000000001,0.18942379999999998,0.4214094,-0.1993876,-0.127593,0.27389709999999995,0.48,68.72001999999999,0.35362059999999995,8.474915,80,1
23,23,720.66S80T1,S,0.05514788,-0.3575408,0.2587986,0.4229478,-0.2131511,-0.11908210000000001,0.4448072,0.5,69.1406,0.36987600000000004,6.615864999999999,80,1
24,24,720.68S80T1,S,0.05206872,-0.5254265,0.2996629,0.42428140000000003,-0.23115210000000003,-0.11039149999999999,0.6071095999999999,0.52,69.2375,0.38990949999999996,6.050994,80,1
25,25,720.7S80T1,S,0.05206872,-0.5254265,0.2996629,0.4253228,-0.24166060000000003,-0.1043983,0.6071095999999999,0.54,69.45491,0.4020517,6.050994,80,1
26,26,720.72S80T1,S,0.04665378,-0.6556888000000001,0.32599409999999995,0.4254652,-0.2514128,-0.1014345,0.7337415,0.56,69.10744,0.4122452999999999,6.045846,80,1
27,27,720.74S80T1,S,0.04372067,-0.8148369000000001,0.34783070000000005,0.4267482,-0.27693609999999996,-0.09190594,0.8870495,0.58,68.4388,0.43951940000000006,4.9524550000000005,80,1
28,28,720.76S80T1,S,0.04608142,-0.9193206,0.3250673,0.42825280000000004,-0.30362,-0.08418028,0.9761879000000001,0.6,67.03144,0.4673398,3.3613510000000004,80,1
29,29,720.78S80T1,S,0.04694751,-0.9728537,0.2739196,0.4296644,-0.3303986,-0.07853852,1.011771,0.62,64.60356999999999,0.4947428,2.97419,80,1
30,30,720.8S80T1,S,0.04622272,-1.006907,0.2158899,0.4309313,-0.3574368,-0.07471901,1.030828,0.64,60.6771,0.5220788,2.540506,80,1
31,31,720.82S80T1,S,0.04622272,-1.006907,0.2158899,0.4318558,-0.377575,-0.07040121,1.030828,0.66,56.83866999999999,0.5426953,2.540506,80,1
32,32,720.84S80T1,S,0.04839974,-1.0373649999999999,0.1556293,0.4324168,-0.3852676,-0.07248765,1.05009,0.68,54.36728000000001,0.5506856,2.66379,80,1
33,33,720.86S80T1,S,0.04262055,-1.0394729999999999,0.09033569999999999,0.43365370000000003,-0.41267170000000003,-0.0720802,1.044261,0.7,44.10267,0.5781206,3.603302,80,1
34,34,720.88S80T1,S,0.03936985,-0.9700530999999999,0.01249351,0.43484049999999996,-0.436457,-0.07416560000000001,0.9709321,0.72,29.861909999999998,0.6020267,3.937237,80,1
35,35,720.9S80T1,S,0.03936985,-0.9700530999999999,0.01249351,0.43562790000000007,-0.4558581,-0.07391573,0.9709321,0.74,14.27994,0.6214454,3.937237,80,1
36,36,720.94S80T1,S,0.03300757,-0.8161687,-0.08667707,0.43685379999999996,-0.47749490000000006,-0.0807227,0.8214216999999999,0.78,6.049446,0.6441607,4.688431,80,1
37,37,723.06S80T2,S,-0.27396609999999993,-0.5267218000000001,-0.07669973,0.5226367999999999,-0.44503919999999997,-0.06415092,0.5986453,0.0,-999.0,0.0,2.195216,80,2
38,38,723.08S80T2,S,-0.31302420000000003,-0.48858859999999993,-0.09772947,0.5135714,-0.45668279999999994,-0.06748831,0.5884335999999999,0.02,-999.0,0.0,2.6529279999999997,80,2
39,39,723.1S80T2,S,-0.3603849,-0.43799609999999994,-0.1170923,0.5030908,-0.46673519999999996,-0.07132698,0.5791618000000001,0.04,-999.0,0.0,3.265899,80,2
40,40,723.12S80T2,S,-0.3603849,-0.43799609999999994,-0.1170923,0.4958831,-0.4754951,-0.07366882,0.5791618000000001,0.06,-999.0,0.0,3.265899,80,2
41,41,723.14S80T2,S,-0.4066809,-0.35838790000000004,-0.1327703,0.4913275,-0.4740241,-0.07552768,0.5580853,0.08,-999.0,0.0,4.922123,80,2
42,42,723.16S80T2,S,-0.45506759999999996,-0.1839532,-0.15673789999999999,0.4782512,-0.4746531,-0.08052419,0.5152592,0.1,-999.0,0.0,8.052404,80,2
43,43,723.18S80T2,S,-0.49238690000000007,0.01761064,-0.1778369,0.4644513,-0.46917609999999993,-0.08584906,0.5238138,0.12,-999.0,0.01577308,9.258637,80,2
44,44,723.2S80T2,S,-0.5096210999999999,0.2753386,-0.2053857,0.45064090000000007,-0.45569750000000003,-0.09195948,0.6145799,0.14,41.74927,0.03601503,10.93169,80,2
45,45,723.22S80T2,S,-0.5096210999999999,0.2753386,-0.2053857,0.4404484,-0.45019079999999995,-0.09606721,0.6145799,0.16,36.04564,0.04830662,10.93169,80,2
46,46,723.24S80T2,S,-0.4951185,0.5686011,-0.23231999999999997,0.43782570000000004,-0.4338212,-0.09854534,0.7889373000000001,0.18,50.16068,0.06506916,11.36104,80,2
47,47,723.26S80T2,S,-0.44693540000000004,0.813247,-0.2550881,0.427063,-0.4065489,-0.1053565,0.9623886,0.2,56.04481,0.09516905,9.289544,80,2
48,48,723.28S80T2,S,-0.3782724,0.9996011999999999,-0.2824203,0.4187255999999999,-0.375648,-0.11285650000000001,1.105465,0.22,60.41176,0.1280421,7.101682,80,2
49,49,723.3S80T2,S,-0.2992714,1.121717,-0.311855,0.41255070000000005,-0.342884,-0.1211958,1.202109,0.24,63.56293,0.1624099,4.390308,80,2
50,50,723.32S80T2,S,-0.2992714,1.121717,-0.311855,0.40656529999999996,-0.3204497,-0.1274329,1.202109,0.26,64.39486,0.1864521,4.390308,80,2
51,51,723.34S80T2,S,-0.2291683,1.165577,-0.3345357,0.40806149999999997,-0.31118179999999995,-0.1299076,1.2341,0.28,65.63264000000001,0.1961606,3.12197,80,2
52,52,723.36S80T2,S,-0.1565271,1.141119,-0.3495891,0.4055495,-0.2816685,-0.1388242,1.2036879999999999,0.3,67.09648,0.2270936,3.542217,80,2
53,53,723.38S80T2,S,-0.09520675,1.058172,-0.34433800000000003,0.4044262,-0.2558163,-0.1472128,1.116853,0.32,68.08381999999999,0.254296,5.414572,80,2
54,54,723.4S80T2,S,-0.05442087,0.9063299000000001,-0.30908179999999996,0.4039063,-0.2355433,-0.1540868,0.9591283000000002,0.34,68.67109,0.27570900000000004,6.993747999999999,80,2
55,55,723.42S80T2,S,-0.05442087,0.9063299000000001,-0.30908179999999996,0.4028179,-0.2174167,-0.1602684,0.9591283000000002,0.36,69.00271,0.2948916,6.993747999999999,80,2
56,56,723.46S80T2,S,-0.01549116,0.5507496999999999,-0.1770404,0.4033801,-0.21048870000000003,-0.1617044,0.5787128,0.4,69.37086,0.30198909999999995,7.8732619999999995,80,2
57,57,723.48S80T2,S,-0.007654695,0.3638765,-0.09505231,0.4032612,-0.205298,-0.1622489,0.3761644,0.42,69.64808000000001,0.30720970000000003,7.90223,80,2
58,58,723.5S80T2,S,-0.007654695,0.3638765,-0.09505231,0.40310809999999997,-0.1980205,-0.16415,0.3761644,0.44,69.85531999999999,0.31473290000000004,7.90223,80,2
59,59,723.52S80T2,S,0.0007608624000000001,0.1921098,-0.01092011,0.4034571,-0.204272,-0.16058889999999998,0.1924214,0.46,69.99006,0.321936,8.015514999999999,80,2
60,60,723.54S80T2,S,-3.74e-06,0.006964857,0.0844738,0.4034203,-0.2083978,-0.1562309,0.08476044,0.48,70.34174,0.3279373,8.108346000000001,80,2
61,61,723.56S80T2,S,0.002595675,-0.1625446,0.16774,0.4035882,-0.2167069,-0.14997,0.23358979999999996,0.5,70.7013,0.3383425,7.587599000000001,80,2
62,62,723.58S80T2,S,-0.0003423382,-0.32693690000000003,0.23754499999999998,0.403567,-0.2293453,-0.1421901,0.40412309999999996,0.52,70.92043000000001,0.3531835,7.154052,80,2
63,63,723.6S80T2,S,-0.01101537,-0.4884483,0.2861886,0.403122,-0.2463292,-0.13361189999999998,0.5662216999999999,0.54,70.7701,0.372216,5.642848000000001,80,2
64,64,723.62S80T2,S,-0.01101537,-0.4884483,0.2861886,0.40290170000000003,-0.2560981,-0.1278881,0.5662216999999999,0.56,70.71983,0.3835405,5.642848000000001,80,2
65,65,723.64S80T2,S,-0.02603171,-0.6267409,0.30771190000000004,0.40221799999999996,-0.26612090000000005,-0.12532580000000001,0.6986905,0.58,70.05185,0.39390820000000004,4.536859,80,2
66,66,723.66S80T2,S,-0.02654373,-0.7260719,0.3234324,0.40167329999999996,-0.2872893,-0.11683099999999999,0.7952946,0.6,68.94865,0.416724,4.667572,80,2
67,67,723.68S80T2,S,-0.02441986,-0.8329815,0.3298452,0.40133969999999997,-0.31176679999999996,-0.10832939999999999,0.8962435,0.62,66.94464,0.4426379,4.0478559999999995,80,2
68,68,723.7S80T2,S,-0.0163673,-0.9191066999999999,0.3042355,0.40136259999999996,-0.33819829999999995,-0.10142319999999999,0.9682893,0.64,63.61241999999999,0.4699568,2.996034,80,2
69,69,723.72S80T2,S,-0.01546497,-0.9243081,0.3014097,0.4011152,-0.35696259999999996,-0.09551853,0.9723335,0.66,60.275180000000006,0.48962970000000006,2.94943,80,2
70,70,723.74S80T2,S,-0.008627926999999999,-0.9753421,0.2648952,0.401607,-0.3651708,-0.09596102,1.0107110000000001,0.68,58.532819999999994,0.4978646,2.749458,80,2
71,71,723.76S80T2,S,-0.0008134072999999999,-0.9842641,0.19582679999999997,0.4020376,-0.3913468,-0.09310260000000001,1.003556,0.7,51.08508,0.5241997,3.150059,80,2
72,72,723.78S80T2,S,0.009421873,-0.9657353000000001,0.12830260000000002,0.40274040000000005,-0.4159411,-0.09200171,0.9742664000000001,0.72,40.64268,0.5488286,2.725787,80,2
73,73,723.8S80T2,S,0.004917467,-0.9280014000000001,0.05437084,0.4030347,-0.4393653,-0.09289542,0.9296058,0.74,25.7444,0.5722718000000001,3.5182379999999998,80,2
74,74,723.82S80T2,S,0.004917467,-0.9280014000000001,0.05437084,0.403133,-0.4579253,-0.09180801,0.9296058,0.76,10.34935,0.5908639,3.5182379999999998,80,2
75,75,723.86S80T2,S,-0.006885997,-0.7713232,-0.05442022,0.4029895,-0.4778889,-0.09796171,0.7732713000000001,0.8,7.918197999999999,0.6117549,4.26231,80,2
76,76,728.94S80T3,S,-0.2178158,-0.7545525,-0.07009713,0.586271,-0.44106359999999994,-0.04319392,0.7884839,0.0,-999.0,0.0,3.124968,80,3
77,77,728.96S80T3,S,-0.27512459999999994,-0.744868,-0.1149256,0.5777836,-0.4600141,-0.04760307,0.8023276999999999,0.02,-999.0,0.0,3.0855759999999997,80,3
78,78,728.98S80T3,S,-0.3377582,-0.7102866,-0.15513110000000002,0.5675718000000001,-0.4775617999999999,-0.05300244,0.8016565,0.04,-999.0,0.0,3.493446,80,3
79,79,729S80T3,S,-0.3929304,-0.6433631999999999,-0.18661370000000002,0.556163,-0.4926713,-0.05897718,0.7766178,0.06,-999.0,0.0,4.717857,80,3
80,80,729.02S80T3,S,-0.3929304,-0.6433631999999999,-0.18661370000000002,0.5483044,-0.5055386,-0.06270946,0.7766178,0.08,-999.0,0.0,4.717857,80,3
81,81,729.04S80T3,S,-0.4554853,-0.5123675,-0.2210459,0.5429975,-0.5028395999999999,-0.06596410000000001,0.7203115,0.1,-999.0,0.0,6.633096000000001,80,3
82,82,729.06S80T3,S,-0.5140893,-0.3530075,-0.2481033,0.5283571,-0.5081683,-0.07339235,0.6711611999999999,0.12,-999.0,0.0,8.114542,80,3
83,83,729.08S80T3,S,-0.5516706,-0.12001500000000001,-0.2659623,0.5132485999999999,-0.5056841,-0.08104894,0.6240833,0.14,-999.0,0.0,10.38974,80,3
84,84,729.1S80T3,S,-0.5743286999999999,0.1484878,-0.2730264,0.4979005999999999,-0.4952388,-0.08842057,0.6530279,0.16,31.52797,0.01997515,12.1552,80,3
85,85,729.12S80T3,S,-0.5743286999999999,0.1484878,-0.2730264,0.486414,-0.49226899999999996,-0.09388110000000001,0.6530279,0.18,24.275579999999998,0.033035699999999994,12.1552,80,3
86,86,729.14S80T3,S,-0.5639835999999999,0.4528165,-0.27696309999999996,0.48345459999999996,-0.4755608,-0.09563664,0.7744861999999999,0.2,42.24105,0.05009454,13.04562,80,3
87,87,729.16S80T3,S,-0.5212011999999999,0.7782359999999999,-0.2822768,0.47084570000000003,-0.44669179999999997,-0.1028453,0.9782546,0.22,51.05526,0.08241129,11.95651,80,3
88,88,729.18S80T3,S,-0.45187170000000004,1.0472219999999999,-0.2897676,0.46046629999999994,-0.412285,-0.1100674,1.176787,0.24,57.18195,0.11906800000000001,8.855344,80,3
89,89,729.2S80T3,S,-0.3718351,1.218397,-0.3083935,0.45244309999999993,-0.3761491,-0.1178263,1.3106719999999998,0.26,61.25095,0.15688829999999998,5.852429,80,3
90,90,729.22S80T3,S,-0.3718351,1.218397,-0.3083935,0.4450064,-0.3517812,-0.12399410000000001,1.3106719999999998,0.28,62.3497,0.1831017,5.852429,80,3
91,91,729.24S80T3,S,-0.2849696,1.303559,-0.3376809,0.4468094,-0.3400965,-0.1264625,1.376409,0.3,64.07983,0.1951796,3.8151900000000003,80,3
92,92,729.26S80T3,S,-0.21302179999999998,1.315157,-0.37161900000000003,0.4426312,-0.30542199999999997,-0.13616570000000003,1.383155,0.32,65.90025,0.2314278,3.3623550000000004,80,3
93,93,729.28S80T3,S,-0.1528479,1.262237,-0.4022208,0.43981970000000004,-0.2736143,-0.1466714,1.333561,0.34,67.00601999999999,0.2650433,4.030521,80,3
94,94,729.3S80T3,S,-0.1008819,1.153497,-0.41852340000000005,0.4381483,-0.2459195,-0.1573058,1.231216,0.36,67.60725,0.2947567,5.475230000000001,80,3
95,95,729.32S80T3,S,-0.1008819,1.153497,-0.41852340000000005,0.4361307,-0.2228496,-0.1656763,1.231216,0.38,67.96138,0.31938099999999997,5.475230000000001,80,3
96,96,729.36S80T3,S,-0.03134781,0.8221391,-0.3607566,0.4370959,-0.20591149999999997,-0.174814,0.8983544,0.42,68.05298,0.3386509,7.602701,80,3
97,97,729.38S80T3,S,-0.01466388,0.6510961999999999,-0.3068591,0.43698290000000006,-0.1928609,-0.1811672,0.7199331999999999,0.44,68.08369,0.35316620000000004,7.488345,80,3
98,98,729.4S80T3,S,-0.008005465,0.4585348,-0.234706,0.4367755,-0.18508339999999998,-0.185379,0.5151749,0.46,68.02695,0.3620133,7.245335000000001,80,3
99,99,729.42S80T3,S,-0.008005465,0.4585348,-0.234706,0.43661530000000004,-0.1759127,-0.1900731,0.5151749,0.48,67.99606999999999,0.37231679999999995,7.245335000000001,80,3
100,100,729.46S80T3,S,-0.008937811,0.129643,-0.07745114,0.4362255,-0.1808796,-0.18802,0.1512807,0.52,67.91116,0.3777054,7.989955999999999,80,3
101,101,729.48S80T3,S,-0.02117678,-0.04772339,0.02373811,0.4352714,-0.18605839999999998,-0.185121,0.05735395,0.54,67.86039,0.38371659999999996,7.654195,80,3
102,102,729.52S80T3,S,-0.03157244,-0.2007953,0.10659769999999999,0.4342153,-0.1947718,-0.1804699,0.2295183,0.58,67.78008,0.39365,6.966056,80,3
103,103,729.54S80T3,S,-0.04749914,-0.362491,0.1835629,0.43261130000000003,-0.2079633,-0.17401629999999998,0.4090858,0.6,67.54169,0.40842290000000003,6.954648,80,3
104,104,729.56S80T3,S,-0.06560911,-0.5223829000000001,0.2557777,0.4306008,-0.22524470000000002,-0.1658478,0.5853295000000001,0.62,67.10863,0.4276429,6.401991000000001,80,3
105,105,729.58S80T3,S,-0.07292604,-0.650076,0.3037179,0.428695,-0.2452875,-0.15698800000000002,0.7212223000000001,0.64,66.42135999999999,0.4496394,4.988569999999999,80,3
106,106,729.6S80T3,S,-0.07292604,-0.650076,0.3037179,0.42723640000000007,-0.258289,-0.1509136,0.7212223000000001,0.66,65.87177,0.46406379999999997,4.988569999999999,80,3
107,107,729.62S80T3,S,-0.06495401,-0.7641195,0.3354862,0.42735559999999995,-0.2679321,-0.1477694,0.8370476,0.68,65.41774000000001,0.4742072,5.275191,80,3
108,108,729.64S80T3,S,-0.03974077,-0.9129366,0.3671308,0.4271554,-0.29543459999999994,-0.1376983,0.9847931000000001,0.7,63.88704,0.5034963,5.1732190000000005,80,3
109,109,729.66S80T3,S,-0.02066264,-1.005966,0.35731209999999997,0.42734890000000003,-0.3239331,-0.1289447,1.067739,0.72,61.581019999999995,0.5333095999999999,3.6022519999999996,80,3
110,110,729.68S80T3,S,-0.00455608,-1.059576,0.30024140000000005,0.42791140000000005,-0.35330159999999994,-0.12288139999999999,1.101302,0.74,58.048759999999994,0.5633026999999999,3.13395,80,3
111,111,729.7S80T3,S,-0.00455608,-1.059576,0.30024140000000005,0.42782029999999993,-0.37449309999999997,-0.11687660000000001,1.101302,0.76,54.77318,0.5853288000000001,3.13395,80,3
112,112,729.72S80T3,S,0.006102164,-1.075703,0.219183,0.4285473,-0.3820265,-0.11954110000000001,1.097823,0.78,53.04295,0.5933525,3.3363720000000003,80,3
113,113,729.74S80T3,S,0.005017039,-1.067848,0.1385905,0.4288862,-0.4096728,-0.11834489999999999,1.0768149999999999,0.8,46.14801,0.6210268,3.657001,80,3
114,114,729.76S80T3,S,0.0027425929999999998,-1.0333,0.05978101,0.4291014,-0.43591309999999994,-0.119224,1.035032,0.82,37.0558,0.6472826999999999,3.681794,80,3
115,115,729.78S80T3,S,-0.003299629,-0.9740409,-0.01426364,0.4290514,-0.45981289999999997,-0.1219598,0.9741509,0.84,26.10591,0.6713385999999999,3.496521,80,3
116,116,729.8S80T3,S,-0.003299629,-0.9740409,-0.01426364,0.4289854,-0.4792937,-0.1222451,0.9741509,0.86,15.71464,0.6908215999999999,3.496521,80,3
117,117,729.84S80T3,S,0.0009864356,-0.8543413000000001,-0.11032239999999999,0.4294231,-0.5028877,-0.1300038,0.8614354999999999,0.9,1.650194,0.7156624,3.273805,80,3
118,118,729.86S80T3,S,-0.005117323,-0.7528203,-0.1407619,0.42927959999999993,-0.5201603,-0.1350004,0.7658841,0.92,8.252667,0.7336437,4.4078870000000006,80,3
119,119,732.08S80T4,S,-0.1804713,-0.675341,-0.07383434,0.5568568,-0.4244478,-0.05370461,0.7029273,0.0,-999.0,0.0,3.785831,80,4
120,120,732.1S80T4,S,-0.1804713,-0.675341,-0.07383434,0.5532473000000001,-0.4379545999999999,-0.05518129,0.7029273,0.02,-999.0,0.0,3.785831,80,4
121,121,732.12S80T4,S,-0.22029110000000002,-0.7398562,-0.1098438,0.550271,-0.44524369999999996,-0.05766298,0.7797313,0.04,-999.0,0.0,2.314005,80,4
122,122,732.14S80T4,S,-0.2585908,-0.7458069,-0.13903629999999997,0.5427359,-0.46470379999999994,-0.06222447,0.8015163000000001,0.06,-999.0,0.0,2.324627,80,4
123,123,732.16S80T4,S,-0.30384479999999997,-0.7135233,-0.1656548,0.5336605,-0.4823559,-0.06756443,0.7930188,0.08,-999.0,0.0,3.119049,80,4
124,124,732.18S80T4,S,-0.3581809,-0.6532658,-0.19277629999999998,0.5229537000000001,-0.4977258,-0.07365484,0.7695534,0.1,-999.0,0.0,4.088628,80,4
125,125,732.2S80T4,S,-0.43862890000000004,-0.5583214,-0.2227945,0.5095934,-0.5099728,-0.08067337,0.7441474,0.12,-999.0,0.0,5.932685,80,4
126,126,732.22S80T4,S,-0.43862890000000004,-0.5583214,-0.2227945,0.5008208,-0.5211393,-0.08512926,0.7441474,0.14,-999.0,0.0,5.932685,80,4
127,127,732.24S80T4,S,-0.516063,-0.40420059999999997,-0.2445214,0.4941691,-0.5168668,-0.08802176,0.6996356,0.16,-999.0,0.0,7.215497,80,4
128,128,732.26S80T4,S,-0.5512773,-0.236139,-0.24982960000000004,0.4790056,-0.5188636999999999,-0.0949159,0.6496793000000001,0.18,-999.0,0.0,7.377197,80,4
129,129,732.28S80T4,S,-0.5640758000000001,-0.01023972,-0.2533295,0.46405859999999993,-0.5138464,-0.10190189999999999,0.6184353,0.2,-999.0,0.0,10.73291,80,4
130,130,732.3S80T4,S,-0.5640758000000001,-0.01023972,-0.2533295,0.4527771,-0.5140511999999999,-0.1069685,0.6184353,0.22,-999.0,0.0,10.73291,80,4
131,131,732.32S80T4,S,-0.5723587,0.2748552,-0.2546881,0.44901030000000003,-0.4998512,-0.108699,0.6841095,0.24,73.72646999999999,0.01479264,12.854339999999999,80,4
132,132,732.34S80T4,S,-0.5479041,0.6172098000000001,-0.24985970000000002,0.435201,-0.47540709999999997,-0.1149016,0.8623089,0.26,63.48072,0.04354478,13.18886,80,4
133,133,732.36S80T4,S,-0.47517,0.9066561,-0.24944029999999998,0.42449380000000003,-0.44445920000000005,-0.1208482,1.0535809999999999,0.28,65.643,0.07682808,11.49397,80,4
134,134,732.38S80T4,S,-0.3692033,1.154631,-0.26745440000000004,0.41732890000000006,-0.40801,-0.127416,1.241377,0.3,68.89769,0.1145509,9.000906,80,4
135,135,732.4S80T4,S,-0.3692033,1.154631,-0.26745440000000004,0.40994480000000005,-0.3849174,-0.13276500000000002,1.241377,0.32,68.83358,0.13937850000000002,9.000906,80,4
136,136,732.42S80T4,S,-0.2604554,1.294935,-0.29463890000000004,0.4130960999999999,-0.37053909999999995,-0.1348758,1.353332,0.34,71.32304,0.15424870000000002,5.677662000000001,80,4
137,137,732.44S80T4,S,-0.1607107,1.335512,-0.3271414,0.41109880000000004,-0.3341409,-0.1432869,1.384356,0.36,72.91906999999999,0.1916594,3.5687879999999996,80,4
138,138,732.46S80T4,S,-0.08685992,1.297507,-0.353471,0.4103448,-0.30089109999999997,-0.1523724,1.347595,0.38,73.74638,0.22613640000000002,4.259972,80,4
139,139,732.48S80T4,S,-0.02387556,1.174028,-0.3578485,0.4109713,-0.27267090000000005,-0.16115839999999998,1.227586,0.4,74.16968,0.2556993,6.990324,80,4
140,140,732.5S80T4,S,-0.02387556,1.174028,-0.3578485,0.4104938,-0.24919029999999998,-0.1683154,1.227586,0.42,74.28834,0.2802511,6.990324,80,4
141,141,732.54S80T4,S,0.03629779,0.7997543,-0.2671687,0.4132915,-0.2349125,-0.1732346,0.8439806999999999,0.46,74.55219,0.29560949999999997,8.036033,80,4
142,142,732.56S80T4,S,0.04260891,0.6034764,-0.2033083,0.4143104,-0.22394650000000002,-0.17664939999999998,0.6382269,0.48,74.65778,0.30714,7.7366649999999995,80,4
143,143,732.58S80T4,S,0.04934618,0.4368095,-0.1440346,0.41552669999999997,-0.21670860000000003,-0.1787084,0.4625835,0.5,74.79133,0.3147627,7.266394,80,4
144,144,732.62S80T4,S,0.04786031,0.2510165,-0.0658595,0.4176907999999999,-0.20975100000000002,-0.17961770000000002,0.26388890000000004,0.54,75.15100000000001,0.32210570000000005,8.216265,80,4
145,145,732.64S80T4,S,0.03848241,0.05889341,0.03101371,0.4174237,-0.21805189999999997,-0.1749908,0.0768842,0.56,75.47998,0.3316128,8.190099,80,4
146,146,732.66S80T4,S,0.03295573,-0.10936839999999999,0.10941340000000001,0.41815329999999995,-0.2252083,-0.17009970000000002,0.1581734,0.58,76.00265,0.3403116,7.231733,80,4
147,147,732.68S80T4,S,0.01722654,-0.2838286,0.1700318,0.41821270000000005,-0.2370434,-0.1641753,0.3313098,0.6,76.43464,0.3535468,7.3125539999999996,80,4
148,148,732.7S80T4,S,-0.002182828,-0.4549518,0.22995460000000004,0.4177512,-0.2532875,-0.15675970000000003,0.5097696,0.62,76.85934,0.3714095,7.870442999999999,80,4
149,149,732.72S80T4,S,-0.002182828,-0.4549518,0.22995460000000004,0.4177075,-0.26238649999999997,-0.1521606,0.5097696,0.64,77.1943,0.3816049,7.870442999999999,80,4
150,150,732.74S80T4,S,-0.02060255,-0.6507099000000001,0.28794440000000004,0.4168115,-0.2754235,-0.147855,0.7118707,0.66,77.14545,0.39536370000000004,6.305468,80,4
151,151,732.76S80T4,S,-0.01852801,-0.7779761,0.3018071,0.4164887,-0.29896350000000005,-0.1398376,0.8346722,0.68,77.17602,0.42023370000000004,5.207804,80,4
